rank,score,address,neighborhood,supervisor_district,nov_count,last_nov_date,units,year_built,assessed_improvement_value,block,lot,parcel_number,lat,lng
1,90.68,20 Whitfield Ct,Bayview Hunters Point,10,10,2025-12-05,94,1978,18845708,4715,013,4715013,37.731301011,-122.382743182
2,79.88,550 Battery St,Financial District/South Beach,3,3,2026-06-16,416,1965,17787370,0198,008,0198008,37.796427784,-122.399882998
3,67.96,757 Green St,Chinatown,3,4,2026-01-27,30,1966,12419000,0129,029,0129029,37.798907419,-122.411526341
4,65.98,40 Espanola St,Bayview Hunters Point,10,4,2025-12-05,58,1978,10331673,4713,009,4713009,37.73146858,-122.380408966
5,64.71,1449 Powell St,Chinatown,3,8,2025-02-25,35,1911,1418651,0148,031,0148031,37.797988379,-122.410751711
6,64.28,1585 05th Av,Inner Sunset,7,9,2019-07-24,86,1950,13562924,2636,001,2636001,37.759781892,-122.460522396
7,64.13,655 Powell St,Nob Hill,3,3,2023-12-05,48,1923,18328397,0273,001,0273001,37.790829751,-122.409154144
8,61.17,15 Hermann St,Hayes Valley,8,6,2019-11-14,65,1931,16555021,0872,001,0872001,37.770640747,-122.425406404
9,59.69,402 Broadway,North Beach,3,5,2025-02-07,3,1907,4717687,0144,007,0144007,37.798497148,-122.404098504
10,58.65,2 Emery Ln,Chinatown,3,5,2025-06-12,4,1907,2762192,0130,012,0130012,37.798675333,-122.409539562
11,57.08,95 Reardon Rd,Bayview Hunters Point,10,5,2025-04-10,82,1959,0,4700,052,4700052,37.729438302,-122.376657801
12,56.82,53 Rondel Pl,Mission,9,5,2025-10-15,2,1906,130544,3569,069,3569069,37.764145938,-122.421008234
13,55.92,2130 Stockton St,North Beach,3,3,2026-03-02,39,1965,4557414,0039,020,0039020,37.805811952,-122.410004107
14,55.85,1080 Golden Gate Av,Western Addition,5,2,2025-04-11,98,1972,10722020,0758,028,0758028,37.780546145,-122.427992281
15,55.58,970 Chestnut St,Russian Hill,3,6,2022-03-07,13,1914,6030052,0048,016,0048016,37.803266361,-122.419381114
16,55.5,68 Macondray Ln,Russian Hill,3,5,2025-03-07,3,1907,558180,0120,013,0120013,37.7993659,-122.415153821
17,55.04,1208 Powell St,Chinatown,3,4,2026-03-16,6,1913,426297,0179,017,0179017,37.795865107,-122.409728333
18,53.52,2401 Larkin St,Russian Hill,3,4,2025-06-26,7,1917,975808,0524,009,0524009,37.800013433,-122.421199238
